2017-04-18 05:14:33,736 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_2f476e4b_fk_django_co` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params ())
2017-04-18 05:14:34,430 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.694) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_2f476e4b_fk_django_co` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=()
2017-04-18 05:14:34,430 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_codename_01ab375a_uniq` UNIQUE (`content_type_id`, `codename`); (params ())
2017-04-18 05:14:34,797 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.367) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_codename_01ab375a_uniq` UNIQUE (`content_type_id`, `codename`); args=()
2017-04-18 05:14:34,797 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_b120cbf9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params ())
2017-04-18 05:14:35,399 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.602) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_b120cbf9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=()
2017-04-18 05:14:35,400 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissio_permission_id_84c5c92e_fk_auth_perm` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params ())
2017-04-18 05:14:36,080 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.680) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissio_permission_id_84c5c92e_fk_auth_perm` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=()
2017-04-18 05:14:36,080 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_permission_id_0cd325b0_uniq` UNIQUE (`group_id`, `permission_id`); (params ())
2017-04-18 05:14:36,416 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.336) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_permission_id_0cd325b0_uniq` UNIQUE (`group_id`, `permission_id`); args=()
2017-04-18 05:14:36,417 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
